,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
100179,9.44084,20.3891,14.7951,12.2427,3.88352,1.09765,2.01299,-0.67134,0.306889,1.09762,2.01263
100180,31.8022,20.3891,11.8869,12.2427,2.49851,1.09765,-2.24162,-0.67134,2.93606,1.09762,-2.24075
100181,4.74544,23.8723,14.7951,11.1041,3.88352,1.39944,2.01299,-0.0799735,0.306889,1.3994,2.01263
100182,32.2993,23.8723,11.8869,11.1041,2.49851,1.39944,-2.24162,-0.0799735,2.93606,1.3994,-2.24075
100183,26.098,14.7951,11.8869,3.88352,2.49851,2.01299,-2.24162,0.306889,2.93606,2.01263,-2.24075
100184,15.015,6.12123,12.176,6.09576,5.02329,-0.0897316,1.53294,-1.06956,2.09497,-0.0897182,1.53273
100185,10.027,6.12123,5.8763,6.09576,4.6001,-0.0897316,-0.728399,-1.06956,1.12836,-0.0897182,-0.728235
100186,9.35561,6.12123,5.93377,6.09576,3.94276,-0.0897316,0.96665,-1.06956,-2.84505,-0.0897182,0.966382
100187,13.9074,12.176,5.8763,5.02329,4.6001,1.53294,-0.728399,2.09497,1.12836,1.53273,-0.728235
100188,5.86857,12.176,5.93377,5.02329,3.94276,1.53294,0.96665,2.09497,-2.84505,1.53273,0.966382
100189,11.2451,5.8763,5.93377,4.6001,3.94276,-0.728399,0.96665,1.12836,-2.84505,-0.728235,0.966382
100190,5.85997,16.8747,17.107,9.80092,9.53022,-1.13887,-1.18956,0.656783,1.27823,-1.13883,-1.18951
100191,10.6586,16.8747,11.231,9.80092,3.18261,-1.13887,-1.93337,0.656783,-2.88016,-1.13883,-1.93284
100192,7.70024,16.8747,15.2557,9.80092,2.61814,-1.13887,-2.44817,0.656783,-0.143716,-1.13883,-2.44737
100193,8.63834,17.107,11.231,9.53022,3.18261,-1.18956,-1.93337,1.27823,-2.88016,-1.18951,-1.93284
100194,9.26552,17.107,15.2557,9.53022,2.61814,-1.18956,-2.44817,1.27823,-0.143716,-1.18951,-2.44737
100195,6.18625,11.231,15.2557,3.18261,2.61814,-1.93337,-2.44817,-2.88016,-0.143716,-1.93284,-2.44737
100196,9.28009,24.1882,22.5467,20.3767,18.0103,-0.602464,-0.695629,1.48193,1.97293,-0.602456,-0.695618
100197,12.2944,24.1882,20.9113,20.3767,10.4485,-0.602464,-1.31774,1.48193,1.90533,-0.602456,-1.31769
100198,27.2258,24.1882,12.3348,20.3767,2.51827,-0.602464,2.27137,1.48193,1.69938,-0.602456,2.27051
100199,8.67559,22.5467,20.9113,18.0103,10.4485,-0.695629,-1.31774,1.97293,1.90533,-0.695618,-1.31769
100200,28.4438,22.5467,12.3348,18.0103,2.51827,-0.695629,2.27137,1.97293,1.69938,-0.695618,2.27051
100201,30.667,20.9113,12.3348,10.4485,2.51827,-1.31774,2.27137,1.90533,1.69938,-1.31769,2.27051
